instant,dteday,season,year,month,hour,is_holiday,weekday,is_workingday,weather_cond,temperature,feeling_temperature,humidity,windspeed,casual,registered,total_count,time_of_day,temp_category,weather_daily
65,2011-01-03,Spring,2011,January,19,0,1,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,8,102,110,Evening,Cold,Clear/Partly Cloudy
66,2011-01-03,Spring,2011,January,20,0,1,1,Clear/Partly Cloudy,0.2,0.2273,0.47,0.1045,3,49,52,Evening,Cold,Clear/Partly Cloudy
67,2011-01-03,Spring,2011,January,21,0,1,1,Clear/Partly Cloudy,0.18,0.197,0.64,0.1343,3,49,52,Evening,Cold,Clear/Partly Cloudy
68,2011-01-03,Spring,2011,January,22,0,1,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1343,0,20,20,Evening,Cold,Clear/Partly Cloudy
69,2011-01-03,Spring,2011,January,23,0,1,1,Clear/Partly Cloudy,0.18,0.2121,0.55,0.1045,1,11,12,Evening,Cold,Clear/Partly Cloudy
70,2011-01-04,Spring,2011,January,0,0,2,1,Clear/Partly Cloudy,0.16,0.1818,0.55,0.1045,0,5,5,Morning,Cold,Clear/Partly Cloudy
71,2011-01-04,Spring,2011,January,1,0,2,1,Clear/Partly Cloudy,0.16,0.1818,0.59,0.1045,0,2,2,Morning,Cold,Clear/Partly Cloudy
72,2011-01-04,Spring,2011,January,2,0,2,1,Clear/Partly Cloudy,0.14,0.1515,0.63,0.1343,0,1,1,Morning,Cold,Clear/Partly Cloudy
73,2011-01-04,Spring,2011,January,4,0,2,1,Clear/Partly Cloudy,0.14,0.1818,0.63,0.0896,0,2,2,Morning,Cold,Clear/Partly Cloudy
74,2011-01-04,Spring,2011,January,5,0,2,1,Clear/Partly Cloudy,0.12,0.1515,0.68,0.1045,0,4,4,Morning,Cold,Clear/Partly Cloudy
75,2011-01-04,Spring,2011,January,6,0,2,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1045,0,36,36,Morning,Cold,Clear/Partly Cloudy
76,2011-01-04,Spring,2011,January,7,0,2,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1343,2,92,94,Morning,Cold,Clear/Partly Cloudy
77,2011-01-04,Spring,2011,January,8,0,2,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1642,2,177,179,Morning,Cold,Clear/Partly Cloudy
78,2011-01-04,Spring,2011,January,9,0,2,1,Clear/Partly Cloudy,0.16,0.1515,0.64,0.2239,2,98,100,Morning,Cold,Clear/Partly Cloudy
79,2011-01-04,Spring,2011,January,10,0,2,1,Misty/Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Morning,Cold,Clear/Partly Cloudy
80,2011-01-04,Spring,2011,January,11,0,2,1,Clear/Partly Cloudy,0.22,0.2121,0.51,0.2985,7,50,57,Morning,Cold,Clear/Partly Cloudy
81,2011-01-04,Spring,2011,January,12,0,2,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,12,66,78,Afternoon,Cold,Clear/Partly Cloudy
82,2011-01-04,Spring,2011,January,13,0,2,1,Clear/Partly Cloudy,0.24,0.2273,0.56,0.194,18,79,97,Afternoon,Cold,Clear/Partly Cloudy
83,2011-01-04,Spring,2011,January,14,0,2,1,Clear/Partly Cloudy,0.26,0.2576,0.52,0.2239,9,54,63,Afternoon,Cold,Clear/Partly Cloudy
84,2011-01-04,Spring,2011,January,15,0,2,1,Clear/Partly Cloudy,0.28,0.2727,0.52,0.2537,17,48,65,Afternoon,Cold,Clear/Partly Cloudy
85,2011-01-04,Spring,2011,January,16,0,2,1,Clear/Partly Cloudy,0.3,0.2879,0.49,0.2537,15,68,83,Afternoon,Cold,Clear/Partly Cloudy
86,2011-01-04,Spring,2011,January,17,0,2,1,Clear/Partly Cloudy,0.28,0.2727,0.48,0.2239,10,202,212,Evening,Cold,Clear/Partly Cloudy
87,2011-01-04,Spring,2011,January,18,0,2,1,Clear/Partly Cloudy,0.26,0.2576,0.48,0.194,3,179,182,Evening,Cold,Clear/Partly Cloudy
88,2011-01-04,Spring,2011,January,19,0,2,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,2,110,112,Evening,Cold,Clear/Partly Cloudy
89,2011-01-04,Spring,2011,January,20,0,2,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,1,53,54,Evening,Cold,Clear/Partly Cloudy
90,2011-01-04,Spring,2011,January,21,0,2,1,Clear/Partly Cloudy,0.22,0.2727,0.64,0.0,0,48,48,Evening,Cold,Clear/Partly Cloudy
91,2011-01-04,Spring,2011,January,22,0,2,1,Clear/Partly Cloudy,0.22,0.2576,0.64,0.0896,1,34,35,Evening,Cold,Clear/Partly Cloudy
92,2011-01-04,Spring,2011,January,23,0,2,1,Clear/Partly Cloudy,0.2,0.2273,0.69,0.0896,2,9,11,Evening,Cold,Clear/Partly Cloudy
93,2011-01-05,Spring,2011,January,0,0,3,1,Clear/Partly Cloudy,0.2,0.2576,0.64,0.0,0,6,6,Morning,Cold,Clear/Partly Cloudy
94,2011-01-05,Spring,2011,January,1,0,3,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,6,6,Morning,Cold,Clear/Partly Cloudy
95,2011-01-05,Spring,2011,January,2,0,3,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,2,2,Morning,Cold,Clear/Partly Cloudy
96,2011-01-05,Spring,2011,January,4,0,3,1,Clear/Partly Cloudy,0.24,0.2273,0.48,0.2239,0,2,2,Morning,Cold,Clear/Partly Cloudy
97,2011-01-05,Spring,2011,January,5,0,3,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,3,3,Morning,Cold,Clear/Partly Cloudy
98,2011-01-05,Spring,2011,January,6,0,3,1,Clear/Partly Cloudy,0.2,0.197,0.47,0.2239,0,33,33,Morning,Cold,Clear/Partly Cloudy
99,2011-01-05,Spring,2011,January,7,0,3,1,Clear/Partly Cloudy,0.18,0.1818,0.43,0.194,1,87,88,Morning,Cold,Clear/Partly Cloudy
100,2011-01-05,Spring,2011,January,8,0,3,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.2985,3,192,195,Morning,Cold,Clear/Partly Cloudy
101,2011-01-05,Spring,2011,January,9,0,3,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,6,109,115,Morning,Cold,Clear/Partly Cloudy
102,2011-01-05,Spring,2011,January,10,0,3,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,4,53,57,Morning,Cold,Clear/Partly Cloudy
103,2011-01-05,Spring,2011,January,11,0,3,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,12,34,46,Morning,Cold,Clear/Partly Cloudy
104,2011-01-05,Spring,2011,January,12,0,3,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,5,74,79,Afternoon,Cold,Clear/Partly Cloudy
105,2011-01-05,Spring,2011,January,13,0,3,1,Clear/Partly Cloudy,0.28,0.2576,0.3,0.2985,6,65,71,Afternoon,Cold,Clear/Partly Cloudy
106,2011-01-05,Spring,2011,January,14,0,3,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,10,52,62,Afternoon,Cold,Clear/Partly Cloudy
107,2011-01-05,Spring,2011,January,15,0,3,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,7,55,62,Afternoon,Cold,Clear/Partly Cloudy
108,2011-01-05,Spring,2011,January,16,0,3,1,Clear/Partly Cloudy,0.3,0.3182,0.28,0.0896,4,85,89,Afternoon,Cold,Clear/Partly Cloudy
109,2011-01-05,Spring,2011,January,17,0,3,1,Clear/Partly Cloudy,0.24,0.2273,0.38,0.194,4,186,190,Evening,Cold,Clear/Partly Cloudy
110,2011-01-05,Spring,2011,January,18,0,3,1,Clear/Partly Cloudy,0.24,0.2424,0.38,0.1343,3,166,169,Evening,Cold,Clear/Partly Cloudy
111,2011-01-05,Spring,2011,January,19,0,3,1,Clear/Partly Cloudy,0.24,0.2576,0.38,0.1045,5,127,132,Evening,Cold,Clear/Partly Cloudy
112,2011-01-05,Spring,2011,January,20,0,3,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,7,82,89,Evening,Cold,Clear/Partly Cloudy
113,2011-01-05,Spring,2011,January,21,0,3,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.194,3,40,43,Evening,Cold,Clear/Partly Cloudy
114,2011-01-05,Spring,2011,January,22,0,3,1,Clear/Partly Cloudy,0.18,0.197,0.55,0.1343,1,41,42,Evening,Cold,Clear/Partly Cloudy
115,2011-01-05,Spring,2011,January,23,0,3,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,1,18,19,Evening,Cold,Clear/Partly Cloudy
116,2011-01-06,Spring,2011,January,0,0,4,1,Clear/Partly Cloudy,0.18,0.2424,0.55,0.0,0,11,11,Morning,Cold,Clear/Partly Cloudy
117,2011-01-06,Spring,2011,January,1,0,4,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,4,4,Morning,Cold,Clear/Partly Cloudy
118,2011-01-06,Spring,2011,January,2,0,4,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,2,2,Morning,Cold,Clear/Partly Cloudy
119,2011-01-06,Spring,2011,January,4,0,4,1,Misty/Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Morning,Cold,Clear/Partly Cloudy
120,2011-01-06,Spring,2011,January,5,0,4,1,Misty/Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Morning,Cold,Clear/Partly Cloudy
121,2011-01-06,Spring,2011,January,6,0,4,1,Misty/Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Morning,Cold,Clear/Partly Cloudy
122,2011-01-06,Spring,2011,January,7,0,4,1,Misty/Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Morning,Cold,Clear/Partly Cloudy
123,2011-01-06,Spring,2011,January,8,0,4,1,Clear/Partly Cloudy,0.16,0.2273,0.59,0.0,3,216,219,Morning,Cold,Clear/Partly Cloudy
124,2011-01-06,Spring,2011,January,9,0,4,1,Misty/Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Morning,Cold,Clear/Partly Cloudy
125,2011-01-06,Spring,2011,January,10,0,4,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,3,42,45,Morning,Cold,Clear/Partly Cloudy
126,2011-01-06,Spring,2011,January,11,0,4,1,Clear/Partly Cloudy,0.22,0.2576,0.44,0.0896,2,57,59,Morning,Cold,Clear/Partly Cloudy
127,2011-01-06,Spring,2011,January,12,0,4,1,Clear/Partly Cloudy,0.26,0.2879,0.35,0.0,6,78,84,Afternoon,Cold,Clear/Partly Cloudy
128,2011-01-06,Spring,2011,January,13,0,4,1,Clear/Partly Cloudy,0.26,0.2727,0.35,0.1045,12,55,67,Afternoon,Cold,Clear/Partly Cloudy
129,2011-01-06,Spring,2011,January,14,0,4,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.1642,11,59,70,Afternoon,Cold,Clear/Partly Cloudy
130,2011-01-06,Spring,2011,January,15,0,4,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.0,8,54,62,Afternoon,Cold,Clear/Partly Cloudy
131,2011-01-06,Spring,2011,January,16,0,4,1,Clear/Partly Cloudy,0.26,0.2576,0.38,0.1642,12,74,86,Afternoon,Cold,Clear/Partly Cloudy
132,2011-01-06,Spring,2011,January,17,0,4,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,9,163,172,Evening,Cold,Clear/Partly Cloudy
133,2011-01-06,Spring,2011,January,18,0,4,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1343,5,158,163,Evening,Cold,Clear/Partly Cloudy
134,2011-01-06,Spring,2011,January,19,0,4,1,Clear/Partly Cloudy,0.22,0.2576,0.55,0.0896,3,109,112,Evening,Cold,Clear/Partly Cloudy
135,2011-01-06,Spring,2011,January,20,0,4,1,Clear/Partly Cloudy,0.2,0.2121,0.51,0.1642,3,66,69,Evening,Cold,Clear/Partly Cloudy
136,2011-01-06,Spring,2011,January,21,0,4,1,Misty/Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Evening,Cold,Clear/Partly Cloudy
137,2011-01-06,Spring,2011,January,22,0,4,1,Misty/Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Evening,Cold,Clear/Partly Cloudy
138,2011-01-06,Spring,2011,January,23,0,4,1,Misty/Cloudy,0.2,0.197,0.59,0.194,4,19,23,Evening,Cold,Clear/Partly Cloudy
139,2011-01-07,Spring,2011,January,0,0,5,1,Misty/Cloudy,0.2,0.197,0.64,0.194,4,13,17,Morning,Cold,Misty/Cloudy
140,2011-01-07,Spring,2011,January,1,0,5,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Morning,Cold,Misty/Cloudy
141,2011-01-07,Spring,2011,January,2,0,5,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Morning,Cold,Misty/Cloudy
142,2011-01-07,Spring,2011,January,4,0,5,1,Misty/Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Morning,Cold,Misty/Cloudy
143,2011-01-07,Spring,2011,January,5,0,5,1,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5,Morning,Cold,Misty/Cloudy
144,2011-01-07,Spring,2011,January,6,0,5,1,Misty/Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Morning,Cold,Misty/Cloudy
145,2011-01-07,Spring,2011,January,7,0,5,1,Clear/Partly Cloudy,0.2,0.2121,0.69,0.1343,8,76,84,Morning,Cold,Misty/Cloudy
146,2011-01-07,Spring,2011,January,8,0,5,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.2537,20,190,210,Morning,Cold,Misty/Cloudy
147,2011-01-07,Spring,2011,January,9,0,5,1,Clear/Partly Cloudy,0.2,0.1818,0.47,0.2985,9,125,134,Morning,Cold,Misty/Cloudy
148,2011-01-07,Spring,2011,January,10,0,5,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,16,47,63,Morning,Cold,Misty/Cloudy
149,2011-01-07,Spring,2011,January,11,0,5,1,Misty/Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Morning,Cold,Misty/Cloudy
150,2011-01-07,Spring,2011,January,12,0,5,1,Misty/Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Afternoon,Cold,Misty/Cloudy
151,2011-01-07,Spring,2011,January,13,0,5,1,Misty/Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Afternoon,Cold,Misty/Cloudy
152,2011-01-07,Spring,2011,January,14,0,5,1,Misty/Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Afternoon,Cold,Misty/Cloudy
153,2011-01-07,Spring,2011,January,15,0,5,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Afternoon,Cold,Misty/Cloudy
154,2011-01-07,Spring,2011,January,16,0,5,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Afternoon,Cold,Misty/Cloudy
155,2011-01-07,Spring,2011,January,17,0,5,1,Misty/Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Evening,Cold,Misty/Cloudy
156,2011-01-07,Spring,2011,January,18,0,5,1,Clear/Partly Cloudy,0.2,0.2273,0.4,0.0896,7,116,123,Evening,Cold,Misty/Cloudy
157,2011-01-07,Spring,2011,January,19,0,5,1,Clear/Partly Cloudy,0.16,0.197,0.55,0.0896,3,92,95,Evening,Cold,Misty/Cloudy
158,2011-01-07,Spring,2011,January,20,0,5,1,Clear/Partly Cloudy,0.18,0.2121,0.47,0.1045,1,50,51,Evening,Cold,Misty/Cloudy
159,2011-01-07,Spring,2011,January,21,0,5,1,Clear/Partly Cloudy,0.18,0.197,0.47,0.1343,0,39,39,Evening,Cold,Misty/Cloudy
160,2011-01-07,Spring,2011,January,22,0,5,1,Misty/Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Evening,Cold,Misty/Cloudy
161,2011-01-07,Spring,2011,January,23,0,5,1,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Evening,Cold,Misty/Cloudy
162,2011-01-08,Spring,2011,January,0,0,6,0,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Morning,Cold,Misty/Cloudy
163,2011-01-08,Spring,2011,January,1,0,6,0,Misty/Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Morning,Cold,Misty/Cloudy
164,2011-01-08,Spring,2011,January,2,0,6,0,Misty/Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Morning,Cold,Misty/Cloudy
165,2011-01-08,Spring,2011,January,3,0,6,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7,Morning,Cold,Misty/Cloudy
166,2011-01-08,Spring,2011,January,4,0,6,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1,Morning,Cold,Misty/Cloudy
167,2011-01-08,Spring,2011,January,5,0,6,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,Morning,Cold,Misty/Cloudy
168,2011-01-08,Spring,2011,January,6,0,6,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,Morning,Cold,Misty/Cloudy
169,2011-01-08,Spring,2011,January,7,0,6,0,Misty/Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,Morning,Cold,Misty/Cloudy
